fips;2015;2016;2017;2018
1001;1.518.409;1.526.310;1.422.078;1.483.414
1003;5.345.363;5.496.105;5.525.882;5.774.289
1005;756.590;742.810;745.625;787.425
1007;358.372;357.831;353.859;364.197
1009;824.934;783.480;813.934;849.114
1011;224.849;246.072;233.531;244.183
1013;570.113;554.471;554.848;570.686
1015;3.810.823;3.862.408;3.861.148;3.950.436
1017;1.793.988;1.953.597;1.938.158;1.941.217
1019;484.118;457.675;461.223;498.013
1021;799.902;798.726;806.179;837.887
1023;531.136;526.604;505.034;547.773
1025;806.072;793.755;771.341;784.519
1027;320.213;315.873;323.580;339.246
1029;304.126;295.526;284.999;294.019
1031;1.349.456;1.375.548;1.410.365;1.470.262
1033;2.814.138;2.778.239;2.708.633;2.755.838
1035;466.177;464.317;456.696;449.646
1037;164.838;168.598;167.226;177.103
1039;1.126.948;1.120.631;1.134.066;1.146.899
1041;427.983;403.588;403.510;408.219
1043;2.479.048;2.473.561;2.491.025;2.548.547
1045;2.405.727;2.423.899;2.459.148;2.505.314
1047;1.186.330;1.196.803;1.156.152;1.174.931
1049;1.728.455;1.621.227;1.688.189;1.768.414
1051;1.614.849;1.639.742;1.653.310;1.694.188
1053;1.152.718;1.162.771;1.163.160;1.172.006
1055;2.741.934;2.742.949;2.746.645;2.803.470
1057;334.480;325.660;327.225;331.837
1059;829.741;802.754;849.068;886.031
1061;505.054;513.876;496.140;519.624
1063;255.456;245.437;225.323;235.854
1065;280.598;291.003;285.818;280.041
1067;312.287;308.340;320.602;327.713
1069;4.190.752;4.221.379;4.238.912;4.349.489
1071;1.420.121;1.317.412;1.300.797;1.319.359
1073;39.503.092;39.475.772;40.567.288;41.774.355
1075;291.779;288.955;289.482;296.054
1077;2.445.200;2.402.567;2.395.624;2.467.086
1079;556.342;518.065;517.319;563.208
1081;5.457.975;5.702.179;5.897.678;6.013.577
1083;3.149.394;3.223.504;3.286.233;3.288.507
1085;414.680;410.956;415.054;413.334
1087;437.082;437.693;427.667;437.305
1089;19.888.881;20.314.558;20.825.274;21.707.550
1091;673.931;678.430;650.660;657.507
1093;779.032;759.279;773.143;804.250
1095;2.830.730;2.864.795;2.943.251;3.061.736
1097;17.548.197;17.901.624;17.642.633;17.882.906
1099;611.360;610.770;610.310;618.262
1101;12.294.898;12.473.078;12.457.671;12.633.330
1103;4.665.658;4.808.714;4.827.146;4.980.085
1105;203.560;198.292;191.859;183.432
1107;407.990;399.004;389.315;390.766
1109;1.305.018;1.327.688;1.315.469;1.309.102
1111;438.364;415.983;418.763;427.804
1113;1.417.799;1.437.492;1.427.776;1.472.862
1115;1.666.235;1.694.102;1.718.514;1.764.952
1117;9.434.367;9.427.502;9.929.586;10.317.323
1119;353.400;359.431;335.668;326.706
1121;2.820.169;2.795.690;2.745.857;2.840.194
1123;1.189.686;1.222.578;1.146.322;1.186.139
1125;8.593.630;8.509.273;8.775.197;9.042.556
1127;1.942.586;1.871.326;1.942.619;2.058.416
1129;727.863;778.980;775.076;799.290
1131;372.273;379.381;373.667;378.418
1133;629.762;623.036;650.751;667.455
2013;181.353;194.592;201.690;201.612
2016;371.005;367.795;347.146;353.175
2020;20.856.627;20.413.792;19.985.366;20.329.942
2050;611.875;606.090;608.355;625.190
2060;113.052;116.004;114.238;130.341
2068;243.176;233.441;234.794;237.263
2070;249.674;243.808;242.542;248.432
2090;5.599.363;5.572.193;5.582.087;5.654.089
2100;93.788;91.604;95.983;98.959
2105;85.838;81.045;81.947;83.216
2110;2.221.936;2.237.416;2.294.784;2.298.214
2122;2.901.418;2.833.117;2.788.536;2.808.539
2130;818.853;797.981;791.585;800.724
2150;767.476;713.809;711.871;715.043
2164;145.175;146.585;142.129;144.996
2170;79.081;76.957;84.208;88.124
2180;2.288.760;2.260.538;2.207.986;2.266.408
2185;412.660;380.519;392.868;396.694
2188;11.130.682;10.567.213;11.231.169;10.469.543
2195;577.594;591.812;680.814;696.765
2198;195.546;185.565;175.901;172.178
2220;222.437;229.481;222.055;219.255
2230;474.614;430.768;429.859;443.526
2240;89.024;95.080;95.733;95.346
2261;558.749;594.212;640.754;637.943
