,fips,2015,2016,2017,2018
0,01001,1518409,1526310,1422078,1483414
1,01003,5345363,5496105,5525882,5774289
2,01005,756590,742810,745625,787425
3,01007,358372,357831,353859,364197
4,01009,824934,783480,813934,849114
5,01011,224849,246072,233531,244183
6,01013,570113,554471,554848,570686
7,01015,3810823,3862408,3861148,3950436
8,01017,1793988,1953597,1938158,1941217
9,01019,484118,457675,461223,498013
10,01021,799902,798726,806179,837887
11,01023,531136,526604,505034,547773
12,01025,806072,793755,771341,784519
13,01027,320213,315873,323580,339246
14,01029,304126,295526,284999,294019
15,01031,1349456,1375548,1410365,1470262
16,01033,2814138,2778239,2708633,2755838
17,01035,466177,464317,456696,449646
18,01037,164838,168598,167226,177103
19,01039,1126948,1120631,1134066,1146899
20,01041,427983,403588,403510,408219
21,01043,2479048,2473561,2491025,2548547
22,01045,2405727,2423899,2459148,2505314
23,01047,1186330,1196803,1156152,1174931
24,01049,1728455,1621227,1688189,1768414
25,01051,1614849,1639742,1653310,1694188
26,01053,1152718,1162771,1163160,1172006
27,01055,2741934,2742949,2746645,2803470
28,01057,334480,325660,327225,331837
29,01059,829741,802754,849068,886031
30,01061,505054,513876,496140,519624
31,01063,255456,245437,225323,235854
32,01065,280598,291003,285818,280041
33,01067,312287,308340,320602,327713
34,01069,4190752,4221379,4238912,4349489
35,01071,1420121,1317412,1300797,1319359
36,01073,39503092,39475772,40567288,41774355
37,01075,291779,288955,289482,296054
38,01077,2445200,2402567,2395624,2467086
39,01079,556342,518065,517319,563208
40,01081,5457975,5702179,5897678,6013577
41,01083,3149394,3223504,3286233,3288507
42,01085,414680,410956,415054,413334
43,01087,437082,437693,427667,437305
44,01089,19888881,20314558,20825274,21707550
45,01091,673931,678430,650660,657507
46,01093,779032,759279,773143,804250
47,01095,2830730,2864795,2943251,3061736
48,01097,17548197,17901624,17642633,17882906
49,01099,611360,610770,610310,618262
50,01101,12294898,12473078,12457671,12633330
51,01103,4665658,4808714,4827146,4980085
52,01105,203560,198292,191859,183432
53,01107,407990,399004,389315,390766
54,01109,1305018,1327688,1315469,1309102
55,01111,438364,415983,418763,427804
56,01113,1417799,1437492,1427776,1472862
57,01115,1666235,1694102,1718514,1764952
58,01117,9434367,9427502,9929586,10317323
59,01119,353400,359431,335668,326706
60,01121,2820169,2795690,2745857,2840194
61,01123,1189686,1222578,1146322,1186139
62,01125,8593630,8509273,8775197,9042556
63,01127,1942586,1871326,1942619,2058416
64,01129,727863,778980,775076,799290
65,01131,372273,379381,373667,378418
66,01133,629762,623036,650751,667455
67,02013,181353,194592,201690,201612
68,02016,371005,367795,347146,353175
69,02020,20856627,20413792,19985366,20329942
70,02050,611875,606090,608355,625190
71,02060,113052,116004,114238,130341
72,02068,243176,233441,234794,237263
73,02070,249674,243808,242542,248432
74,02090,5599363,5572193,5582087,5654089
75,02100,93788,91604,95983,98959
76,02105,85838,81045,81947,83216
77,02110,2221936,2237416,2294784,2298214
78,02122,2901418,2833117,2788536,2808539
79,02130,818853,797981,791585,800724
80,02150,767476,713809,711871,715043
81,02164,145175,146585,142129,144996
82,02170,79081,76957,84208,88124
83,02180,2288760,2260538,2207986,2266408
84,02185,412660,380519,392868,396694
85,02188,11130682,10567213,11231169,10469543
86,02195,577594,591812,680814,696765
87,02198,195546,185565,175901,172178
88,02220,222437,229481,222055,219255
89,02230,474614,430768,429859,443526
90,02240,89024,95080,95733,95346
91,02261,558749,594212,640754,637943
92,02270,2174869,2157680,2173189,2331614
93,02275,96477,100629,92788,94120
94,02282,34590,28345,27057,28420
95,02290,247510,260813,258303,273529
96,04001,2502406,2509130,2544096,2619469
97,04003,4205478,4315749,4259736,4404134
98,04005,6251840,6396139,6753461,6770442
99,04007,1975267,1895553,1979124,1985337
100,04009,838174,971213,1024616,1097980
101,04011,1603588,1447670,1764250,1771158
102,04012,554228,582158,582552,602409
103,04013,197556651,204282531,211308745,220789933
104,04015,4700479,4841032,4900560,5068013
105,04017,3277796,3227185,3380361,3535546
106,04019,36108903,37134412,38636977,40011352
107,04021,6467645,6590811,6571381,6936698
108,04023,1538667,1544234,1620780,1701223
109,04025,5837276,6038037,6263132,6481866
110,04027,6776399,7370372,7783381,7874389
111,05001,1004316,1064308,1011497,1028895
112,05003,893843,910844,896476,907876
113,05005,1101296,1094691,1102545,1131278
114,05007,11874454,12095992,12846262,13245065
115,05009,1106264,1113842,1117118,1150136
116,05011,321127,313284,323897,330283
117,05013,314529,305565,326112,344894
118,05015,756728,723423,784947,788311
119,05017,234007,253168,254641,244098
120,05019,718661,723399,730698,734017
121,05021,299759,289400,313160,304763
122,05023,1099560,1009797,982503,890222
123,05025,160765,156902,163377,169834
124,05027,883285,843077,831485,828515
125,05029,1154642,1085068,1025383,962556
126,05031,3821826,3860116,3922075,4031319
127,05033,1528602,1517580,1542213,1567342
128,05035,1493676,1464223,1483554,1481505
129,05037,437090,435801,439065,440941
130,05039,195291,194016,195576,192320
131,05041,505433,536213,495296,498045
132,05043,570890,589264,571341,574589
133,05045,3720455,3679979,3625171,3683719
134,05047,485328,455437,471660,479936
135,05049,199447,179951,180330,187790
136,05051,2937538,2942846,3003768,3051825
137,05053,375292,372803,378549,390516
138,05055,1316996,1283954,1315511,1342823
139,05057,817269,818374,883781,877218
140,05059,823538,893297,873769,863609
141,05061,580517,569038,593606,597565
142,05063,1489901,1572081,1582135,1670702
143,05065,291945,280613,267905,273211
144,05067,528349,533677,520962,528213
145,05069,2917025,2935141,2931545,2917078
146,05071,692708,688151,703176,698286
147,05073,197146,201252,182376,174464
148,05075,377185,401118,419851,444009
149,05077,186225,178330,170645,178058
150,05079,263976,278624,250313,261122
151,05081,406071,396547,384516,378858
152,05083,628938,605629,614896,600829
153,05085,1129147,1120170,1145735,1159033
154,05087,407009,390283,405857,411807
155,05089,550764,486098,486441,494246
156,05091,1116700,1094405,1075969,1102278
157,05093,2006432,2165446,2086796,2205413
158,05095,192302,197137,194720,188860
159,05097,166208,157184,155057,157162
160,05099,276505,270195,264549,272959
161,05101,101767,97685,95467,96963
162,05103,622256,610952,605002,614610
163,05105,153683,142159,142145,141590
164,05107,480917,457899,444620,458421
165,05109,245683,234545,240251,248289
166,05111,529275,528857,541014,555990
167,05113,500117,479843,490456,502922
168,05115,2805696,2728238,2683755,2692810
169,05117,158599,159145,164188,165493
170,05119,26416384,26975550,26639032,27208113
171,05121,348243,367600,393806,415843
172,05123,689420,670682,693463,687857
173,05125,1935576,1926672,1930880,1991439
174,05127,275104,266741,283220,288385
175,05129,128823,122884,120167,122483
176,05131,6009047,6017794,5982291,6067121
177,05133,449689,445428,448651,462219
178,05135,327148,315495,314779,309809
179,05137,230089,212889,219896,228301
180,05139,2763045,2652569,2723839,2806423
181,05141,942137,826520,756095,658285
182,05143,9039927,9389303,9676654,9828703
183,05145,2425197,2350710,2296231,2272114
184,05147,185095,191496,204480,210719
185,05149,534662,517732,537493,550276
186,06001,114592329,119447773,125803266,130701879
187,06003,194700,197160,197087,214895
188,06005,1514323,1557733,1589308,1651760
189,06007,8271641,8685754,9002731,9219915
190,06009,1249325,1351739,1452571,1440250
191,06011,1693756,1579352,1472320,1673234
192,06013,71028489,70594339,75495547,77463188
193,06015,869352,902897,905649,939846
194,06017,6601749,7043191,7419868,7653908
195,06019,39100161,39839249,41597807,43436946
196,06021,1234667,1354291,1318557,1495087
197,06023,5528777,5765056,5954256,6118687
198,06025,7759415,8016694,8189014,8038068
199,06027,1123225,1184726,1195289,1205264
200,06029,48137003,49076083,50226164,49864234
201,06031,5487526,5377698,5481134,5648724
202,06033,1948505,2059415,2106437,2178663
203,06035,1298987,1346229,1340576,1358142
204,06037,653885024,667706082,688661590,710893266
205,06039,5982371,6418227,6658105,7099931
206,06041,19089876,19648493,19983906,20896027
207,06043,689194,751702,796797,811272
208,06045,3334857,3386979,3444874,3552687
209,06047,8595504,8742254,9504388,9435667
210,06049,433203,445488,426486,441800
211,06051,907585,949362,1046210,1009386
212,06053,24379259,24879466,25149109,25834713
213,06055,9214016,9336207,9506546,9999759
214,06057,3942943,4029754,4053373,4170409
215,06059,208517447,212281069,223791535,230145536
216,06061,18891434,19854262,21027562,22021571
217,06063,937022,1012209,1109769,1052152
218,06065,72375487,74405465,77102154,79775504
219,06067,78935508,79773093,82506601,85235147
220,06069,2275993,2385697,2482964,2495845
221,06071,77495694,79698867,82478302,85114555
222,06073,200564607,203882502,210693896,219361505
223,06075,133969619,142435855,151359380,162541244
224,06077,26817792,26805456,28027041,29257580
225,06079,15388320,15865142,16138584,16536404
226,06081,86010720,91287140,99816105,104986153
227,06083,26252102,26107316,26861059,27855958
228,06085,251750330,268421986,287235403,316525538
229,06087,13166978,13370887,13520021,13765700
230,06089,7010541,7289876,7635618,7655080
231,06091,174241,186168,191322,215033
232,06093,1724683,1802970,1811500,1776081
233,06095,21145851,22142123,22841474,23303994
234,06097,25854007,26617535,27421167,28565621
235,06099,21248796,21075833,21993425,23160773
236,06101,3289404,3252117,3326349,3486115
237,06103,1917492,2037676,2100567,2210392
238,06105,451395,473471,492954,506794
239,06107,16739950,17147139,17773212,18415098
240,06109,2226912,2425612,2556252,2430940
241,06111,50480790,51798309,52776068,53439240
242,06113,12532441,12952543,13350147,13751632
243,06115,2753556,2872113,2985566,3020233
244,08001,21039417,21995795,22938605,23933937
245,08003,662337,659375,654314,671553
246,08005,39956471,41013746,42654549,44037874
247,08007,464385,481176,479089,482935
248,08009,118407,121877,127452,137473
249,08011,172963,181238,163672,165660
250,08013,22669578,23423069,24607654,25319458
251,08014,7595628,7596604,8366371,8050690
252,08015,606033,634208,662174,692114
253,08017,217923,230128,251808,235536
254,08019,639648,494493,509932,500533
255,08021,215666,216947,222447,244248
256,08023,107006,96329,104746,107662
257,08025,168503,182013,153741,126638
258,08027,140388,126686,125904,127789
259,08029,791826,756267,750050,785652
260,08031,64116859,64925150,67039713,70054379
261,08033,216453,191724,188029,156585
262,08035,14173343,14332960,15226588,15743268
263,08037,3136360,3216484,3308719,3375460
264,08039,408333,423323,451766,484094
265,08041,30201637,30907788,32265733,33349174
266,08043,1248334,1269874,1295616,1325142
267,08045,4230409,4246153,4301192,4243642
268,08047,505564,503282,552434,525142
269,08049,653776,661941,685071,714703
270,08051,923743,943497,1012690,1028922
271,08053,48200,47982,52284,52699
272,08055,233778,246665,271378,273895
273,08057,89185,93650,98742,118656
274,08059,26075796,27600781,28434307,29445620
275,08061,84548,83008,90628,73798
276,08063,318197,325292,331713,391520
277,08065,277307,266524,296883,309433
278,08067,3499160,3674622,3650188,3515882
279,08069,14784676,15358832,16121584,16793330
280,08071,718839,736109,723964,711460
281,08073,363542,374098,396871,391910
282,08075,1217271,1235667,1090097,1061679
283,08077,5757436,5695220,5970021,6253144
284,08079,70751,68993,73103,77089
285,08081,1042946,1045120,1026134,987890
286,08083,1808550,1888742,2024058,1799102
287,08085,1301522,1314618,1359203,1413627
288,08087,1527903,1494827,1559780,1592344
289,08089,597938,580665,579125,594219
290,08091,214088,193107,196871,200510
291,08093,349626,364585,383734,400803
292,08095,198867,217901,202394,213315
293,08097,1810200,1864163,1871595,1900883
294,08099,562738,593064,541959,585362
295,08101,5633254,5793524,5936817,6084945
296,08103,816272,762354,754490,736488
297,08105,435710,439984,424683,435646
298,08107,1606787,1596244,1648606,1676236
299,08109,183987,178250,166002,170660
300,08111,49355,41257,44580,44681
301,08113,612657,607530,607756,630972
302,08115,131811,141744,124544,122461
303,08117,1954242,1997326,2100690,2144107
304,08119,832946,821374,880866,858144
305,08121,219055,228338,199232,240624
306,08123,17290520,17607226,18767550,20531235
307,08125,817648,861732,781972,673264
308,09001,78667116,77878283,77609152,77951236
309,09003,75812380,75841426,76345801,75991079
310,09005,7567652,7532359,7470812,7688830
311,09007,8782362,8647334,8761274,8706342
312,09009,46417757,47057608,47266161,48060270
313,09011,16467459,16657031,16914681,17084801
314,09013,4679576,4694375,4770557,4835245
315,09015,4553895,4537403,4606323,4661614
316,10001,6585361,6654062,6621713,6700040
317,10003,44546988,42600438,42708813,42517640
318,10005,14766561,13877300,13422305,13568583
319,11001,117238433,119567337,121011225,123981627
320,12001,11487691,11755588,12031399,12447381
321,12003,547809,562229,575846,595832
322,12005,7264429,7348864,7463278,7606775
323,12007,599779,608141,637196,659865
324,12009,20787350,21514903,22465459,23437467
325,12011,88623704,91380503,94231492,96874849
326,12013,240507,238916,239671,250104
327,12015,4252418,4409773,4518513,4670656
328,12017,3374867,3395172,3414707,3511018
329,12019,4049461,4230998,4334718,4508532
330,12021,14272513,14926141,15140542,15760299
331,12023,2084675,2043138,2078805,2117963
332,12027,828679,832295,897169,828489
333,12029,259180,264745,270743,274765
334,12031,53307586,54932423,57588045,59046312
335,12033,13292392,13455692,13747958,14133569
336,12035,1925200,2036334,2106231,2159015
337,12037,326714,326130,331884,339243
338,12039,1111638,1152756,1186133,1210807
339,12041,345889,362490,370035,384761
340,12043,255344,253267,266604,270066
341,12045,362027,364695,376332,377644
342,12047,386469,370897,378169,392338
343,12049,1070287,1213281,1178699,1113218
344,12051,1167900,1253739,1246870,1216050
345,12053,3390553,3495017,3647475,3817718
346,12055,2429784,2526899,2547217,2538660
347,12057,73150526,75304750,77317574,79951440
348,12059,325138,317913,334989,323671
349,12061,4864424,5047825,5130162,5346831
350,12063,1135401,1154854,1161800,1199023
351,12065,301383,305566,307620,302750
352,12067,238600,199505,205689,209052
353,12069,7452335,7706726,7927962,8284194
354,12071,24022905,25401906,26207287,27046186
355,12073,12986116,13337263,13747492,14165147
356,12075,955314,1078963,1217429,1102272
357,12077,173347,174480,176209,182111
358,12079,498633,475043,476908,489921
359,12081,11560828,11902949,12152004,12599063
360,12083,8259823,8846178,8922757,9237866
361,12085,6608423,6603563,6723319,6946903
362,12086,131624991,136396875,141349544,145882828
363,12087,4014404,4094692,4186956,4255911
364,12089,2017786,2035963,2134955,2213296
365,12091,9612196,9792508,10183734,10515093
366,12093,1202583,1154890,1274588,1151613
367,12095,77882979,81146561,84359305,87741273
368,12097,7709041,7896106,8143986,8374889
369,12099,65902060,67751333,70558459,72270528
370,12101,10230816,10582469,10903869,11238393
371,12103,43023746,44233572,45158454,46894199
372,12105,20462688,20928287,21816610,22483500
373,12107,1978369,1972144,1987327,2009787
374,12109,6265006,6634305,7027715,7357931
375,12111,7553019,7824890,8119970,8311311
376,12113,3492523,3652174,3684821,3836306
377,12115,15905329,16423322,17014502,17814560
378,12117,17035220,17812364,18819518,19779928
379,12119,2169972,2280124,2397299,2484841
380,12121,1144054,1039424,1060121,1090123
381,12123,897393,841275,859687,856461
382,12125,295420,301177,306038,299208
383,12127,14882560,15475305,15985757,16446375
384,12129,581765,566868,594611,606163
385,12131,2214261,2317833,2436144,2511146
386,12133,462189,470907,476861,491690
387,13001,1351221,1406512,1427534,1417429
388,13003,211521,213898,224844,236695
389,13005,332628,351341,361434,357666
390,13007,82734,94739,81967,87742
391,13009,1221127,1221974,1226412,1237235
392,13011,374857,376263,423761,432928
393,13013,1690337,1720364,1794017,1884951
394,13015,4109404,4384889,4377573,4495356
395,13017,476982,480766,479336,481148
396,13019,325527,327001,340702,354815
397,13021,7746567,7651253,7746876,7980755
398,13023,224077,222459,226437,232430
399,13025,217794,228431,232714,240294
400,13027,288213,286397,276881,286906
401,13029,694751,724375,765385,807644
402,13031,2028980,2060434,2118761,2141698
403,13033,1977820,2230208,2417457,2489579
404,13035,496924,511615,546854,560604
405,13037,120213,123044,134787,124665
406,13039,1709746,1760908,1832731,1865713
407,13043,225735,226591,235359,243238
